Actual_Churn,Predicted_Prob,Prescriptive_Action,Lifetime_Value,Country,City,Membership_Years
0,0.11563764295723235,Do Not Intervene,1887.69,Australia,Perth,4.3
0,0.1341595502619745,Do Not Intervene,1222.31,USA,Houston,2.7
0,0.28555335470371285,Trigger Retention Campaign (15% Discount),815.25,India,Delhi,4.8
0,0.09328192201341755,Do Not Intervene,1252.2,UK,Leeds,1.2
0,0.13958526256535342,Do Not Intervene,1341.25,Germany,Frankfurt,5.9
0,0.12554850153892583,Do Not Intervene,2147.08,Japan,Nagoya,1.6
0,0.11553679445735458,Do Not Intervene,1164.42,Canada,Calgary,2.8
0,0.11449756022030133,Do Not Intervene,1947.24,USA,Chicago,1.3
0,0.08437425924816033,Do Not Intervene,1568.87,UK,Manchester,2.3
1,0.7355014118343142,Trigger Retention Campaign (15% Discount),764.4,Japan,Osaka,2.7
0,0.12196701404499649,Do Not Intervene,1401.68,UK,Leeds,4.0
1,0.9166117161227487,Trigger Retention Campaign (15% Discount),2495.91,India,Hyderabad,2.4
0,0.5035742278707656,Trigger Retention Campaign (15% Discount),131.4,UK,Birmingham,0.5
0,0.44667145018018944,Trigger Retention Campaign (15% Discount),396.82,Australia,Sydney,0.2
0,0.10359277655746978,Do Not Intervene,1575.13,Japan,Osaka,1.4
0,0.17350322530740597,Do Not Intervene,1594.32,Canada,Ottawa,0.6
0,0.0834384220884395,Do Not Intervene,1153.62,UK,Birmingham,1.5
0,0.12696836296733974,Do Not Intervene,1282.26,USA,Houston,2.9
0,0.1350105101139579,Do Not Intervene,972.46,Australia,Brisbane,1.0
0,0.46066591383111466,Trigger Retention Campaign (15% Discount),392.82,USA,Phoenix,7.2
1,0.5680745476404934,Trigger Retention Campaign (15% Discount),294.87,Canada,Toronto,5.9
0,0.18058621378492998,Do Not Intervene,919.39,UK,Glasgow,2.1
0,0.16613300667529088,Do Not Intervene,989.98,USA,Houston,1.7
0,0.10394370921213517,Do Not Intervene,772.7,Canada,Montreal,0.9
1,0.6128152617663843,Trigger Retention Campaign (15% Discount),956.19,Germany,Munich,3.2
1,0.3499284529638747,Trigger Retention Campaign (15% Discount),618.78,India,Bangalore,5.2
0,0.10634299878581226,Do Not Intervene,1712.34,USA,Phoenix,4.4
0,0.1683337770368127,Do Not Intervene,2170.89,USA,Chicago,0.8
0,0.1253716849582207,Do Not Intervene,2323.46,UK,Manchester,1.2
0,0.13350351701392085,Do Not Intervene,2008.98,USA,Chicago,1.0
1,0.8470908546305974,Trigger Retention Campaign (15% Discount),1993.32,UK,Birmingham,4.4
0,0.17334656039217072,Do Not Intervene,1795.81,Australia,Sydney,4.6
0,0.08525606147565293,Do Not Intervene,1023.89,Canada,Toronto,0.7
0,0.18553290765940747,Do Not Intervene,1353.46,Germany,Frankfurt,1.4
0,0.15454409448093773,Do Not Intervene,1100.38,Germany,Hamburg,7.7
0,0.08870576658489387,Do Not Intervene,2462.94,Australia,Brisbane,3.4
0,0.10538023824723318,Do Not Intervene,3196.56,USA,Los Angeles,3.5
0,0.09335921666298504,Do Not Intervene,1026.73,USA,Los Angeles,1.8
0,0.4092748786959985,Trigger Retention Campaign (15% Discount),810.97,USA,Chicago,1.0
0,0.2029704691599098,Do Not Intervene,2171.89,Canada,Calgary,5.4
1,0.6702811772709493,Trigger Retention Campaign (15% Discount),239.12,UK,Leeds,10.0
1,0.9011118204599335,Trigger Retention Campaign (15% Discount),383.92,Canada,Calgary,1.9
0,0.15727637816630544,Do Not Intervene,801.77,Germany,Frankfurt,6.2
0,0.10900735071173343,Do Not Intervene,920.29,Japan,Osaka,1.5
0,0.14696801090424974,Do Not Intervene,733.75,USA,Phoenix,3.2
1,0.8682640598964153,Trigger Retention Campaign (15% Discount),3528.77,Canada,Montreal,3.4
0,0.19481815428424365,Do Not Intervene,1832.17,USA,Los Angeles,2.4
0,0.19899584682351357,Do Not Intervene,736.33,India,Chennai,2.0
0,0.4817119398413397,Trigger Retention Campaign (15% Discount),1043.31,France,Toulouse,1.8
0,0.10015385750065596,Do Not Intervene,824.87,UK,Birmingham,1.9
0,0.6797086761758176,Trigger Retention Campaign (15% Discount),463.86,Canada,Montreal,7.9
0,0.2392027576805747,Do Not Intervene,481.6,USA,Los Angeles,2.9
0,0.18169835397505385,Do Not Intervene,726.59,USA,Houston,3.0
1,0.5749008938313078,Trigger Retention Campaign (15% Discount),1608.62,USA,Los Angeles,1.7
0,0.1789642160560428,Do Not Intervene,935.78,USA,Los Angeles,6.2
0,0.20466670110990845,Do Not Intervene,1041.75,Canada,Toronto,4.6
0,0.31462429686417487,Trigger Retention Campaign (15% Discount),447.03,Australia,Adelaide,7.0
1,0.47906433826872324,Trigger Retention Campaign (15% Discount),1105.8,UK,Manchester,3.2
0,0.23419740010511533,Do Not Intervene,505.2,UK,Glasgow,6.6
0,0.4085722014456606,Trigger Retention Campaign (15% Discount),495.43,Japan,Tokyo,2.8
1,0.6965478606959645,Trigger Retention Campaign (15% Discount),560.34,India,Hyderabad,0.3
0,0.16711477210456713,Do Not Intervene,1400.29,Canada,Calgary,1.4
0,0.059036251816318684,Do Not Intervene,733.74,USA,New York,5.3
0,0.17365140608991741,Do Not Intervene,2897.72,USA,New York,2.0
0,0.15306079544394874,Do Not Intervene,2487.86,India,Bangalore,1.7
0,0.3632249789187633,Trigger Retention Campaign (15% Discount),725.07,Japan,Yokohama,5.7
0,0.13883074911274793,Do Not Intervene,796.5,France,Paris,7.4
1,0.4205091055267859,Trigger Retention Campaign (15% Discount),582.5,Australia,Sydney,9.5
0,0.24617057952111945,Do Not Intervene,980.79,UK,Manchester,7.7
0,0.10004177687555149,Do Not Intervene,1200.67,USA,Los Angeles,2.7
0,0.3775730305558107,Trigger Retention Campaign (15% Discount),3387.38,France,Marseille,4.3
0,0.15349197949900337,Do Not Intervene,1943.48,USA,New York,1.2
1,0.5144048348395832,Trigger Retention Campaign (15% Discount),1434.45,USA,Phoenix,1.7
0,0.09648589621417716,Do Not Intervene,2080.86,USA,Phoenix,0.3
1,0.6707655946434227,Trigger Retention Campaign (15% Discount),1132.22,Australia,Perth,4.1
1,0.8405771814813124,Trigger Retention Campaign (15% Discount),1000.5,India,Hyderabad,2.1
1,0.7711034159686324,Trigger Retention Campaign (15% Discount),2071.16,Australia,Perth,3.8
0,0.12502567783843138,Do Not Intervene,845.3,USA,Houston,2.3
1,0.9727356899963725,Trigger Retention Campaign (15% Discount),464.18,Canada,Montreal,3.2
0,0.19966078998011622,Do Not Intervene,2238.63,Australia,Melbourne,0.8
0,0.1741859202424137,Do Not Intervene,2401.21,USA,Phoenix,10.0
0,0.3480807285395578,Trigger Retention Campaign (15% Discount),910.27,Germany,Berlin,3.4
0,0.3944322056412976,Trigger Retention Campaign (15% Discount),471.0,UK,Manchester,3.9
1,0.8353961738967058,Trigger Retention Campaign (15% Discount),117.72,Canada,Calgary,1.4
0,0.07278651465255595,Do Not Intervene,506.58,Japan,Nagoya,2.8
1,0.5173125458403501,Trigger Retention Campaign (15% Discount),617.5,Japan,Kyoto,3.1
1,0.5231999038542425,Trigger Retention Campaign (15% Discount),1443.26,USA,New York,1.5
1,0.8759491312548044,Trigger Retention Campaign (15% Discount),3124.93,USA,Houston,3.6
1,0.4619394445835096,Trigger Retention Campaign (15% Discount),820.74,USA,Phoenix,6.5
1,0.49368094160153525,Trigger Retention Campaign (15% Discount),601.39,Japan,Nagoya,2.1
0,0.14756913690880755,Do Not Intervene,3506.47,Germany,Hamburg,4.2
0,0.11020548318488016,Do Not Intervene,710.16,France,Marseille,4.7
0,0.22411650877552566,Do Not Intervene,900.74,UK,Leeds,1.9
0,0.46237749120747756,Trigger Retention Campaign (15% Discount),834.22,UK,Manchester,0.7
0,0.3454199813742923,Trigger Retention Campaign (15% Discount),536.57,USA,Los Angeles,2.5
0,0.10154980322321407,Do Not Intervene,950.88,France,Lyon,2.2
1,0.5991359392520663,Trigger Retention Campaign (15% Discount),719.07,Canada,Toronto,0.6
0,0.21723175821255913,Do Not Intervene,695.54,France,Toulouse,0.5
0,0.3786321427634347,Trigger Retention Campaign (15% Discount),408.78,Canada,Montreal,3.8
0,0.18383089032096123,Do Not Intervene,487.53,UK,Manchester,3.6
0,0.09220203182799595,Do Not Intervene,1524.45,USA,Los Angeles,2.5
0,0.7831205584810434,Trigger Retention Campaign (15% Discount),564.81,France,Paris,1.8
0,0.13070506182198038,Do Not Intervene,1664.37,Japan,Nagoya,3.2
0,0.1660928426940383,Do Not Intervene,1871.96,India,Delhi,2.2
0,0.1670182518467993,Do Not Intervene,822.98,Canada,Calgary,3.6
0,0.1539377273766761,Do Not Intervene,1374.92,USA,New York,2.0
1,0.7416455148959683,Trigger Retention Campaign (15% Discount),974.46,USA,Phoenix,1.4
1,0.500924876685269,Trigger Retention Campaign (15% Discount),1124.38,USA,Chicago,7.0
1,0.8872281726631221,Trigger Retention Campaign (15% Discount),433.58,UK,Manchester,1.7
0,0.16633391967296723,Do Not Intervene,705.27,UK,Birmingham,0.8
0,0.1360016811027548,Do Not Intervene,3794.76,Germany,Cologne,2.0
0,0.13839123405693296,Do Not Intervene,2015.81,Canada,Calgary,2.3
